ParameterName,Writeable
InternetGatewayDevice.WEB_GUI.Status.System_Status.Uplink_Data_Rate.Max_Data_Rate,0
InternetGatewayDevice.WEB_GUI.Status.System_Status.Uplink_Data_Rate.Min_Data_Rate,0
InternetGatewayDevice.WEB_GUI.Status.System_Status.Uplink_Data_Rate.,0
InternetGatewayDevice.WEB_GUI.Status.System_Status.Downlink_Data_Rate.Current_Data_Rate,0
InternetGatewayDevice.WEB_GUI.Status.System_Status.Downlink_Data_Rate.Max_Data_Rate,0
InternetGatewayDevice.WEB_GUI.Status.System_Status.Downlink_Data_Rate.Min_Data_Rate,0
InternetGatewayDevice.WEB_GUI.Status.System_Status.Downlink_Data_Rate.,0
InternetGatewayDevice.WEB_GUI.Status.System_Status.System_Information.Firewall,0
InternetGatewayDevice.WEB_GUI.Status.System_Status.System_Information.Device_Up_Time,0
InternetGatewayDevice.WEB_GUI.Status.System_Status.System_Information.Restart_Reason,0
InternetGatewayDevice.WEB_GUI.Status.System_Status.System_Information.,0
InternetGatewayDevice.WEB_GUI.Status.System_Status.,0
InternetGatewayDevice.WEB_GUI.Status.,0
InternetGatewayDevice.WEB_GUI.LTE.LTE_Cell_Selection.StartStop_LTE.Start_Stop,1
InternetGatewayDevice.WEB_GUI.LTE.LTE_Cell_Selection.StartStop_LTE.,0
InternetGatewayDevice.WEB_GUI.LTE.LTE_Cell_Selection.Cell_Selection.Mode,1
InternetGatewayDevice.WEB_GUI.LTE.LTE_Cell_Selection.Cell_Selection.Scan_Mode,1
InternetGatewayDevice.WEB_GUI.LTE.LTE_Cell_Selection.Cell_Selection.Band,1
InternetGatewayDevice.WEB_GUI.LTE.LTE_Cell_Selection.Cell_Selection.Type,1
InternetGatewayDevice.WEB_GUI.LTE.LTE_Cell_Selection.Cell_Selection.Earfcn_Frequency_Setting,1
InternetGatewayDevice.WEB_GUI.LTE.LTE_Cell_Selection.Cell_Selection.,0
InternetGatewayDevice.WEB_GUI.LTE.LTE_Cell_Selection.,0
InternetGatewayDevice.WEB_GUI.LTE.PIN.LTE_Enable_PIN.Enable_PIN,1
InternetGatewayDevice.WEB_GUI.LTE.PIN.LTE_Enable_PIN.PIN_Code,1
InternetGatewayDevice.WEB_GUI.LTE.PIN.LTE_Enable_PIN.,0
InternetGatewayDevice.WEB_GUI.LTE.PIN.LTE_Change_PIN.Old_PIN_Code,1
InternetGatewayDevice.WEB_GUI.LTE.PIN.LTE_Change_PIN.New_PIN_Code,1
InternetGatewayDevice.WEB_GUI.LTE.PIN.LTE_Change_PIN.Enable_Change_PIN_Code,1
InternetGatewayDevice.WEB_GUI.LTE.PIN.LTE_Change_PIN.Remaining_Attempts,0
InternetGatewayDevice.WEB_GUI.LTE.PIN.LTE_Change_PIN.,0
InternetGatewayDevice.WEB_GUI.LTE.PIN.,0
InternetGatewayDevice.WEB_GUI.LTE.Default_PDN.Network_Attach.Attach,1
InternetGatewayDevice.WEB_GUI.LTE.Default_PDN.Network_Attach.APN_Name,1
InternetGatewayDevice.WEB_GUI.LTE.Default_PDN.Network_Attach.,0
InternetGatewayDevice.WEB_GUI.LTE.Default_PDN.Authentication_Type.Type,1
InternetGatewayDevice.WEB_GUI.LTE.Default_PDN.Authentication_Type.Username,1
InternetGatewayDevice.WEB_GUI.LTE.Default_PDN.Authentication_Type.Password,1
InternetGatewayDevice.WEB_GUI.LTE.Default_PDN.Authentication_Type.,0
InternetGatewayDevice.WEB_GUI.LTE.Default_PDN.,0
InternetGatewayDevice.WEB_GUI.LTE.,0
InternetGatewayDevice.WEB_GUI.WiFi.Settings.Wireless_Setting.InterfaceStatus,1
InternetGatewayDevice.WEB_GUI.WiFi.Settings.Wireless_Setting.RadioChannel,1
InternetGatewayDevice.WEB_GUI.WiFi.Settings.Wireless_Setting.WorkingMode,1
InternetGatewayDevice.WEB_GUI.WiFi.Settings.Wireless_Setting.Bandwidth_11n_Only,1
InternetGatewayDevice.WEB_GUI.WiFi.Settings.Wireless_Setting.RTSThreshold,1
InternetGatewayDevice.WEB_GUI.WiFi.Settings.Wireless_Setting.CTSProtectMode,1
InternetGatewayDevice.WEB_GUI.WiFi.Settings.Wireless_Setting.PreambleLength,1
InternetGatewayDevice.WEB_GUI.WiFi.Settings.Wireless_Setting.NetworkName,1
InternetGatewayDevice.WEB_GUI.WiFi.Settings.Wireless_Setting.SSIDBrocast,1
InternetGatewayDevice.WEB_GUI.WiFi.Settings.Wireless_Setting.Current_Working_Channel,0
InternetGatewayDevice.WEB_GUI.WiFi.Settings.Wireless_Setting.Wifi_Client,0
InternetGatewayDevice.WEB_GUI.WiFi.Settings.Wireless_Setting.,0
InternetGatewayDevice.WEB_GUI.WiFi.Settings.Security_1.X_802_1x.RekeyInterval,1
InternetGatewayDevice.WEB_GUI.WiFi.Settings.Security_1.X_802_1x.RADIUSServer,1
InternetGatewayDevice.WEB_GUI.WiFi.Settings.Security_1.X_802_1x.RADIUSPort,1
InternetGatewayDevice.WEB_GUI.WiFi.Settings.Security_1.X_802_1x.RADIUSKey,1
InternetGatewayDevice.WEB_GUI.WiFi.Settings.Security_1.X_802_1x.,0
InternetGatewayDevice.WEB_GUI.WiFi.Settings.Security_1.Static_key.DefaultKey,1
InternetGatewayDevice.WEB_GUI.WiFi.Settings.Security_1.Static_key.Key,1
InternetGatewayDevice.WEB_GUI.WiFi.Settings.Security_1.Static_key.,0
InternetGatewayDevice.WEB_GUI.WiFi.Settings.Security_1.Pre_shared.RekeyInterval,1
InternetGatewayDevice.WEB_GUI.WiFi.Settings.Security_1.Pre_shared.KeyPassPhrase,1
InternetGatewayDevice.WEB_GUI.WiFi.Settings.Security_1.Pre_shared.,0
InternetGatewayDevice.WEB_GUI.WiFi.Settings.Security_1.Authentication,1
InternetGatewayDevice.WEB_GUI.WiFi.Settings.Security_1.Encryption,1
InternetGatewayDevice.WEB_GUI.WiFi.Settings.Security_1.,0
InternetGatewayDevice.WEB_GUI.WiFi.Settings.Access_Control_List_1.Default,1
InternetGatewayDevice.WEB_GUI.WiFi.Settings.Access_Control_List_1.Add_Rule_Instruction,0
InternetGatewayDevice.WEB_GUI.WiFi.Settings.Access_Control_List_1.Insert_Rule,1
InternetGatewayDevice.WEB_GUI.WiFi.Settings.Access_Control_List_1.Rule_00,0
InternetGatewayDevice.WEB_GUI.WiFi.Settings.Access_Control_List_1.Rule_01,0
InternetGatewayDevice.WEB_GUI.WiFi.Settings.Access_Control_List_1.Rule_02,0
InternetGatewayDevice.WEB_GUI.WiFi.Settings.Access_Control_List_1.Rule_03,0
InternetGatewayDevice.WEB_GUI.WiFi.Settings.Access_Control_List_1.Rule_04,0
